filename,combinedQualityScore,topiqTechnical,topiqAesthetic,clipIQA,ratingStars,userOverride,processState,decodeError
DSCF0001.JPG,0.49959895,0.40234375,0.6464844,0.40033826,1,,done,false
DSCF0002.JPG,0.53595865,0.42797852,0.6645508,0.49473462,1,,done,false
DSCF0003.JPG,0.5459719,0.46435547,0.6738281,0.45349208,1,,done,false
DSCF0004.JPG,0.5668826,0.50927734,0.6645508,0.4867567,1,,done,false
DSCF0005.JPG,0.49892813,0.39648438,0.64990234,0.4018671,1,,done,false
DSCF0006.JPG,0.5245487,0.43359375,0.66308594,0.42938405,1,,done,false
DSCF0007.JPG,0.5070066,0.4020996,0.65185547,0.42712265,1,,done,false
DSCF0008.JPG,0.6326137,0.6538086,0.7495117,0.35642773,3,,done,false
DSCF0009.JPG,0.5792724,0.54785156,0.67041016,0.45983848,2,,done,false
DSCF0011.JPG,0.6729139,0.7163086,0.7163086,0.4993351,4,,done,false
DSCF0012.JPG,0.6796746,0.69091797,0.7241211,0.5682951,4,,done,false
DSCF0013.JPG,0.701452,0.73339844,0.72998047,0.58050203,5,,done,false
DSCF0014.JPG,0.7080566,0.7524414,0.73583984,0.5637209,5,,done,false
DSCF0015.JPG,0.6952646,0.67871094,0.7285156,0.66186976,4,,done,false
DSCF0016.JPG,0.6956632,0.69970703,0.74072266,0.5974568,5,,done,false
DSCF0017.JPG,0.7265233,0.71972656,0.7416992,0.70976454,5,,done,false
DSCF0018.JPG,0.41957626,0.18701172,0.5810547,0.5617484,1,,done,false
DSCF0019.JPG,0.4372867,0.20166016,0.5830078,0.61709756,1,,done,false
DSCF0020.JPG,0.44121608,0.203125,0.5756836,0.6484632,1,,done,false
DSCF0021.JPG,0.6320418,0.57177734,0.7001953,0.6162637,3,,done,false
DSCF0022.JPG,0.6720704,0.66748047,0.7207031,0.583985,4,,done,false
DSCF0023.JPG,0.6960267,0.72998047,0.72314453,0.57388324,5,,done,false
DSCF0024.JPG,0.7206883,0.75683594,0.72558594,0.63859767,5,,done,false
DSCF0025.JPG,0.5744288,0.47436523,0.65185547,0.6197027,1,,done,false
DSCF0026.JPG,0.6879625,0.64990234,0.7158203,0.708367,4,,done,false
DSCF0027.JPG,0.6926783,0.6645508,0.7182617,0.6977661,4,,done,false
DSCF0028.JPG,0.61190903,0.6118164,0.70458984,0.42673272,2,,done,false
DSCF0029.JPG,0.6379642,0.6464844,0.7026367,0.4915785,3,,done,false
DSCF0030.JPG,0.6536778,0.65185547,0.7089844,0.5467093,3,,done,false
DSCF0031.JPG,0.63670534,0.63916016,0.7158203,0.47356576,3,,done,false
DSCF0032.JPG,0.6119351,0.5805664,0.70996094,0.47862044,2,,done,false
DSCF0033.JPG,0.6538783,0.66259766,0.7211914,0.50181323,3,,done,false
DSCF0034.JPG,0.6472929,0.6435547,0.71435547,0.5206441,3,,done,false
DSCF0035.JPG,0.650651,0.6640625,0.7290039,0.46712226,3,,done,false
DSCF0036.JPG,0.63525844,0.6567383,0.71728516,0.42824513,3,,done,false
DSCF0037.JPG,0.6274388,0.625,0.6982422,0.4907096,2,,done,false
DSCF0038.JPG,0.3916746,0.15307617,0.5854492,0.48132223,1,,done,false
DSCF0039.JPG,0.4138335,0.19616699,0.5913086,0.49421644,1,,done,false
DSCF0040.JPG,0.42875826,0.23034668,0.58984375,0.50341034,1,,done,false
DSCF0041.JPG,0.38600397,0.18811035,0.5800781,0.39364284,1,,done,false
DSCF0042.JPG,0.38890702,0.20324707,0.57910156,0.37983766,1,,done,false
DSCF0043.JPG,0.40332526,0.23071289,0.5864258,0.38234895,1,,done,false
DSCF0044.JPG,0.60518485,0.5810547,0.71435547,0.4351042,2,,done,false
DSCF0045.JPG,0.6016214,0.5678711,0.70751953,0.45732546,2,,done,false
DSCF0046.JPG,0.6779713,0.64746094,0.7319336,0.63106745,4,,done,false
DSCF0047.JPG,0.640047,0.62109375,0.7128906,0.5322663,3,,done,false
DSCF0048.JPG,0.635234,0.6298828,0.7216797,0.4730452,3,,done,false
DSCF0049.JPG,0.6547121,0.65771484,0.7084961,0.54113877,3,,done,false
DSCF0050.JPG,0.66939145,0.65771484,0.73046875,0.5705902,4,,done,false
DSCF0051.JPG,0.7065097,0.7207031,0.73828125,0.61458,5,,done,false
DSCF0052.JPG,0.70237446,0.7163086,0.7373047,0.60464555,5,,done,false
DSCF0053.JPG,0.6981806,0.71484375,0.73876953,0.58367634,5,,done,false
DSCF0054.JPG,0.67478395,0.66064453,0.73828125,0.5760683,4,,done,false
DSCF0055.JPG,0.6925273,0.6977539,0.7397461,0.58763623,4,,done,false
DSCF0056.JPG,0.6743726,0.65625,0.7397461,0.5798707,4,,done,false
